X_param,Y
"(0, 0)","[0.01109714, 0.07634472]"
"(0, 1)","[0.00012328, 0.02110573]"
"(0, 2)","[0.00012328, 0.02110573]"
"(0, 3)","[0.00023446, 0.01109714]"
"(0, 4)","[0.00084811, 0.02110573]"
"(0, 5)","[0.00012328, 0.01109714]"
"(0, 6)","[0.00583474, 0.99893269]"
"(0, 7)","[0.00012328, 0.02110573]"
"(0, 8)","[0.00583474, 0.52522685]"
"(0, 9)","[0.00023446, 0.02110573]"
"(0, 10)","[0.00012328, 0.01109714]"
"(0, 11)","[0.00023446, 0.01109714]"
"(0, 12)","[0.00583474, 0.52522685]"
"(0, 13)","[0.00044593, 0.01109714]"
"(0, 14)","[0.01109714, 0.52522685]"
"(0, 15)","[0.00023446, 0.02110573]"
"(0, 16)","[0.00084811, 0.01109714]"
"(0, 17)","[0.00583474, 0.07634472]"
"(0, 18)","[0.01109714, 0.52522685]"
"(0, 19)","[0.01109714, 0.07634472]"
"(0, 20)","[0.00583474, 0.52522685]"
"(0, 21)","[0.00583474, 0.27615799]"
"(0, 22)","[0.00583474, 0.99893269]"
"(0, 23)","[0.00583474, 0.52522685]"
"(0, 24)","[0.00583474, 0.27615799]"
"(0, 25)","[0.00583474, 0.07634472]"
"(0, 26)","[0.01109714, 0.07634472]"
"(0, 27)","[0.00583474, 0.27615799]"
"(0, 28)","[0.00583474, 0.27615799]"
"(0, 29)","[0.00012328, 0.01109714]"
"(0, 30)","[0.00023446, 0.01109714]"
"(0, 31)","[0.00583474, 0.99893269]"
"(0, 32)","[0.00583474, 0.27615799]"
"(0, 33)","[0.00583474, 0.52522685]"
"(0, 34)","[0.01109714, 0.07634472]"
"(0, 35)","[0.00012328, 0.02110573]"
"(0, 36)","[0.00012328, 0.00306784]"
"(0, 37)","[0.00583474, 0.04014114]"
"(0, 38)","[0.01109714, 0.04014114]"
"(0, 39)","[0.00583474, 0.52522685]"
"(0, 40)","[0.01109714, 0.07634472]"
"(0, 41)","[0.00583474, 0.52522685]"
"(0, 42)","[0.01109714, 0.99893269]"
"(0, 43)","[0.01109714, 0.07634472]"
"(0, 44)","[0.00583474, 0.99893269]"
"(1, 0)","[0.00012328, 0.07634472]"
"(1, 1)","[0.00023446, 0.07634472]"
"(1, 2)","[0.00044593, 0.07634472]"
"(1, 3)","[0.00044593, 0.07634472]"
"(1, 4)","[0.00161303, 0.07634472]"
"(1, 5)","[0.00012328, 0.07634472]"
"(1, 6)","[0.00044593, 0.07634472]"
"(1, 7)","[0.00023446, 0.07634472]"
"(1, 8)","[0.00012328, 0.07634472]"
"(1, 9)","[0.00084811, 0.04014114]"
"(1, 10)","[0.00044593, 0.07634472]"
"(1, 11)","[0.00044593, 0.07634472]"
"(1, 12)","[0.04014114, 0.99893269]"
"(1, 13)","[0.00012328, 0.07634472]"
"(1, 14)","[0.04014114, 0.52522685]"
"(1, 15)","[0.00012328, 0.07634472]"
"(1, 16)","[0.04014114, 0.99893269]"
"(1, 17)","[0.00023446, 0.07634472]"
"(1, 18)","[0.00084811, 0.07634472]"
"(1, 19)","[0.00044593, 0.07634472]"
"(1, 20)","[0.04014114, 0.99893269]"
"(1, 21)","[0.00023446, 0.07634472]"
"(1, 22)","[0.00012328, 0.07634472]"
"(1, 23)","[0.00044593, 0.07634472]"
"(1, 24)","[0.00012328, 0.07634472]"
"(1, 25)","[0.00084811, 0.07634472]"
"(1, 26)","[0.04014114, 0.27615799]"
"(1, 27)","[0.00044593, 0.02110573]"
"(1, 28)","[0.00161303, 0.07634472]"
"(1, 29)","[0.00084811, 0.07634472]"
